Country,Year,Livability_Score,Lower_Bound,Upper_Bound,Latest_Score
Afghanistan,2023,0.5088841906323429,0.49043456825019605,0.5278617146707368,0.42809587780351044
Afghanistan,2024,0.5186143424607351,0.5001333430706528,0.5378613269325468,0.42809587780351044
Afghanistan,2025,0.5283711522393421,0.5115423632098525,0.5479033683916567,0.42809587780351044
Afghanistan,2026,0.5381013040677343,0.5186315296305429,0.5576911339659957,0.42809587780351044
Afghanistan,2027,0.5478314558961264,0.5284728611691485,0.5681821772864105,0.42809587780351044
Angola,2023,0.5114660206503142,0.5044238673476388,0.518375813673697,0.5341021392655417
Angola,2024,0.5126550237700572,0.5001743503815014,0.5244744162349912,0.5341021392655417
Angola,2025,0.5138472844325941,0.49314030872109854,0.5342101559687313,0.5341021392655417
Angola,2026,0.5150362875523371,0.48414204415874484,0.544259156800936,0.5341021392655417
Angola,2027,0.5162252906720801,0.4745608127150522,0.5589185296055083,0.5341021392655417
Albania,2023,0.6103597016633459,0.6039549713515168,0.6161993427328258,0.6559675812699057
Albania,2024,0.6079190955993738,0.6014647371367988,0.6144792478195693,0.6559675812699057
Albania,2025,0.6054718029434457,0.5964680858232855,0.6138454927780862,0.6559675812699057
Albania,2026,0.6030311968794737,0.591988235149638,0.6137902431343685,0.6559675812699057
Albania,2027,0.6005905908155017,0.5861331917815206,0.6152874976614746,0.6559675812699057
Andorra,2023,0.609031692876217,0.6068661181820756,0.6110791232332461,0.6135018178500976
Andorra,2024,0.6085358485669037,0.6027568764400036,0.6137009170336718,0.6135018178500976
Andorra,2025,0.6080386457800305,0.5976749574996479,0.6176646735337057,0.6135018178500976
Andorra,2026,0.6075428014707173,0.5914287197718291,0.6212538876761586,0.6135018178500976
Andorra,2027,0.607046957161404,0.5846066647332719,0.6275164476275492,0.6135018178500976
United Arab Emirates,2023,0.6186799016932266,0.6151944099679815,0.6219615447684376,0.6268820796176682
United Arab Emirates,2024,0.6189254145004209,0.6092736746625323,0.6285687373967974,0.6268820796176682
United Arab Emirates,2025,0.6191715999454431,0.6018932090623477,0.637209121787594,0.6268820796176682
United Arab Emirates,2026,0.6194171127526376,0.5930271692175412,0.6467131122622443,0.6268820796176682
United Arab Emirates,2027,0.6196626255598319,0.5820243110855607,0.6575245316144097,0.6268820796176682
Argentina,2023,0.6071809905174459,0.6016845380174186,0.6139522328414115,0.6009380907187369
Argentina,2024,0.607912933034207,0.5903012438830687,0.6283228392017166,0.6009380907187369
Argentina,2025,0.6086468808729318,0.5743173880314438,0.6443425127723919,0.6009380907187369
Argentina,2026,0.609378823389693,0.5546483829743504,0.6638485212257165,0.6009380907187369
Argentina,2027,0.6101107659064541,0.5337735318240118,0.6865391071958277,0.6009380907187369
Armenia,2023,0.5801214050117519,0.5731463476769366,0.5872959525201227,0.5722414635103905
Armenia,2024,0.5825334526119107,0.5610990675041332,0.6050685349367609,0.5722414635103905
Armenia,2025,0.5849521085616591,0.5448316886246515,0.6244421272229643,0.5722414635103905
