Country,Latest_Score,Latest_Year,Forecast_2027,Change,Percent_Change
Liechtenstein,0.7940653270837945,2022,0.8289468994555039,0.03488157237170941,4.39
Latvia,0.7044944887066191,2022,0.7871345646507785,0.08264007594415934,11.73
Estonia,0.7177636280668126,2022,0.7841868209958033,0.06642319292899068,9.25
Bhutan,0.7242134897618991,2022,0.7733149932963627,0.04910150353446352,6.78
Sweden,0.7561736564518555,2022,0.7637832233132379,0.007609566861382366,1.01
Solomon Islands,0.6991283651708448,2022,0.7582998532455155,0.059171488074670764,8.46
Lithuania,0.6734800168083156,2022,0.7550018208840102,0.08152180407569465,12.1
S?o Tom? and Pr?ncipe,0.6288018349667757,2022,0.7545389038492659,0.12573706888249025,20.0
Iceland,0.7170182485287129,2022,0.7490837544621423,0.032065505933429383,4.47
Finland,0.7467687819098067,2022,0.745310888847739,-0.0014578930620676722,-0.2
Cambodia,0.668752232570929,2022,0.738235336602194,0.06948310403126501,10.39
Guatemala,0.6621536433338518,2022,0.7289112565952319,0.06675761326138008,10.08
South Korea,0.7101198765101813,2022,0.7264015000648146,0.016281623554633362,2.29
Tanzania,0.6317646932411739,2022,0.7219390305755475,0.09017433733437363,14.27
Costa Rica,0.6872777915222751,2022,0.72078223782455,0.03350444630227489,4.87
Norway,0.7562763338507725,2022,0.7179916132544173,-0.03828472059635524,-5.06
Peru,0.6770978166794568,2022,0.7145140450935726,0.03741622841411585,5.53
Uruguay,0.6729041180916037,2022,0.714198759617271,0.04129464152566731,6.14
Colombia,0.6568731120763021,2022,0.7122714523718028,0.055398340295500725,8.43
Slovenia,0.72159857628955,2022,0.707220588855133,-0.014377987434417094,-1.99
Panama,0.6781034606867258,2022,0.7058389455050846,0.027735484818358858,4.09
Denmark,0.6752075618631264,2022,0.7056063569157982,0.030398795052671845,4.5
Ireland,0.6600571463078698,2022,0.7055608378612186,0.04550369155334877,6.89
Honduras,0.6603995158052262,2022,0.7047166428913986,0.044317127086172414,6.71
Paraguay,0.6777353598774225,2022,0.7040195633786521,0.02628420350122962,3.88
Montenegro,0.6791971870168763,2022,0.7035363004874027,0.02433911347052642,3.58
Sri Lanka,0.6690609261281497,2022,0.7018486036501773,0.0327876775220276,4.9
Cuba,0.6674859212089366,2022,0.7004791124008355,0.03299319119189892,4.94
United States,0.6598673386881648,2022,0.6998569885802597,0.03998964989209486,6.06
Austria,0.7021250644917147,2022,0.6974736152448031,-0.004651449246911632,-0.66
New Zealand,0.6873330390684571,2022,0.6966266564907593,0.00929361742230217,1.35
Gabon,0.7078940109080347,2022,0.6964451551971305,-0.01144885571090426,-1.62
Japan,0.7001752095815629,2022,0.6960907595158231,-0.004084450065739764,-0.58
Nepal,0.6382028811185644,2022,0.69532143869704,0.057118557578475615,8.95
Switzerland,0.7043509547713825,2022,0.6951315599762652,-0.009219394795117353,-1.31
Luxembourg,0.7117165499751698,2022,0.6948090140840293,-0.01690753589114047,-2.38
Belarus,0.6442242704360482,2022,0.6947792298285655,0.05055495939251731,7.85
Laos,0.706092783477982,2022,0.6924270165358655,-0.01366576694211652,-1.94
Belize,0.6509606331583992,2022,0.688605737948888,0.03764510479048877,5.78
Ecuador,0.6727268850168152,2022,0.687752636990534,0.015025751973718804,2.23
Hungary,0.6389184168825334,2022,0.6865799687271495,0.04766155184461618,7.46
Seychelles,0.6653695375523906,2022,0.6858995897842104,0.020530052231819806,3.09
Trinidad and Tobago,0.6444263334776551,2022,0.6853611491454388,0.040934815667783675,6.35
Brazil,0.6897875485886085,2022,0.6852123660229814,-0.004575182565627056,-0.66
Zambia,0.6328850757830138,2022,0.6826580296330488,0.049772953850034996,7.86
North Korea,0.6127156709890036,2022,0.6811460712448898,0.0684304002558862,11.17
Bulgaria,0.6524146655113189,2022,0.6797971259844661,0.027382460473147185,4.2
Palau,0.6701356733470071,2022,0.6794920301367801,0.00935635678977298,1.4
Singapore,0.6784454113434379,2022,0.6793141589839887,0.0008687476405507821,0.13
Romania,0.6491415804090289,2022,0.6783820965317197,0.02924051612269074,4.5
Thailand,0.668415787896359,2022,0.6762030425525726,0.007787254656213549,1.17
North Macedonia,0.6176084645246834,2022,0.6754830758755228,0.05787461135083938,9.37
Poland,0.6578447873194723,2022,0.6746078335299662,0.01676304621049396,2.55
Malaysia,0.669226821599999,2022,0.6743340747877903,0.005107253187791261,0.76
Germany,0.661759531989738,2022,0.6722650119748707,0.010505479985132626,1.59
Togo,0.5689029944533328,2022,0.6715260066976685,0.10262301224433568,18.04
United Kingdom,0.6301225534839869,2022,0.6712166397719578,0.041094086287970844,6.52
Canada,0.6767423348744118,2022,0.6690240154653371,-0.0077183194090747476,-1.14
Vietnam,0.675490987273917,2022,0.6685126032030068,-0.006978384070910226,-1.03
Zimbabwe,0.5780246074596517,2022,0.6670370049389507,0.08901239747929901,15.4
Czech Republic,0.6489501380810205,2022,0.6655699249481727,0.016619786867152153,2.56
Maldives,0.6038482832341725,2022,0.663336678222451,0.059488394988278515,9.85
Nicaragua,0.6314388360049858,2022,0.6630586804353599,0.03161984443037402,5.01
Monaco,0.6884146230761082,2022,0.66168821096535,-0.026726412110758213,-3.88
Indonesia,0.6465273815085593,2022,0.6602872879700716,0.013759906461512372,2.13
Portugal,0.6882681280788838,2022,0.6602151369885637,-0.028052991090320112,-4.08
Suriname,0.6778069194223688,2022,0.6599518588325353,-0.01785506058983355,-2.63
Eswatini (Swaziland),0.5062171231424515,2022,0.656294315175758,0.1500771920333065,29.65
Slovakia,0.6348502717228124,2022,0.6557834723819316,0.02093320065911919,3.3
