country,source,post_id,title,text,comments,category,sentiment_score,upvotes,created_utc,url
Mexico,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/cy5ng663d1wo#0,From Mexico cartel safe house to US streets: BBC tracks deadly fentanyl targeted by Trump tariffs,"From Mexico cartel safe house to US streets: BBC tracks deadly fentanyl targeted by Trump tariffs

4 hours ago Share Save Quentin Sommerville • @sommervilletv BBC News, in Tijuana and Philadelphia Share Save

BBC Jay, a dealer who crossed the border to Mexico from LA, says there will always be demand for fentanyl

The fentanyl dealer from Los Angeles stands to the side watching carefully as a Mexican drugs cartel operative prepares his latest shipment. The synthetic opioid drug is wrapped in foil, sealed in plastic, then dropped with an oily splash into the petrol tank of the trafficker's nondescript car. Jay, not his real name, had crossed earlier from the US to this cartel-run safe house on the Mexican side of the border. The house looks like any other in this neighbourhood. We are told to drive in quickly and an iron gate closes firmly behind us. They don't cook the drug here, but still they are wary of attracting attention. The men all speak in hushed voices and work quickly. Their",,general,,,1741779560.0,https://www.bbc.com/news/articles/cy5ng663d1wo
Pakistan,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/cgm147dlvv9o#0,Pakistan army says 300 hostages freed from train,"Pakistan army says 300 hostages freed from train

The military continues its search operation in the area to rule out any remaining threats.

Twenty-one civilian hostages and four military personnel were killed by the Baloch Liberation Army (BLA) before the operation began, the military spokesperson said. These numbers have not been verified by the BBC.

The military spokesperson said 33 militants were killed during the operation.

Pakistan's army says it has freed more than 300 hostages from a passenger train seized by militants in Balochistan province on Tuesday.

There were approximately 440 passengers on board the train when it was attacked, according to the army's spokesperson.

Security officials have been quoted as saying some of the militants may have left the train, taking an unknown number of passengers with them into the surrounding mountainous area.

The military is working to find the passengers who escaped and fled into the surrounding area during the attack, the spokespe",,general,,,1741780722.0,https://www.bbc.com/news/articles/cgm147dlvv9o
Pakistan,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741797038,‘A rain of rockets and bullets’: Survivors of Pakistan’s train hijacking,"Quetta, Pakistan – Survivors of Tuesday’s deadly train hijacking by Baloch separatists have described how they watched fellow passengers being executed and fled while being shot at.

Dozens of fighters belonging to the Balochistan Liberation Army (BLA) targeted nine carriages of the Jaffar Express with rocket-propelled grenades and gunshots as it passed through colonial-era tunnels in the rugged, mountainous Bolan Pass.

The train, which departed from Quetta, the provincial capital of the southwestern province of Balochistan, at 9am (04:00 GMT) for Peshawar, the capital of the northwestern Khyber Pakhtunkhwa province, came under attack near Sibi city, about 160km (100 miles) from Quetta, at around 1pm (08:00 GMT).

The train’s route makes a journey of more than 1,600km (994 miles) through Punjab to reach its final destination, Peshawar. The trip takes roughly 30 hours, with stops at about 30 stations across the country.

On Wednesday night, Pakistan’s security forces said they had conc",,general,,,1741784101.0,https://www.aljazeera.com/features/2025/3/12/a-rain-of-rockets-and-bullets-survivors-of-pakistans-train-hijacking?traffic_source=rss
Pakistan,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741798894,Pakistan says more than 300 hostages rescued from hijacked train,"A military spokesperson says the rescue operation has concluded and that all 33 attackers were killed.

Pakistan’s military says at least 346 hostages have been freed from a passenger train that was hijacked by separatist fighters in Balochistan province in the country’s southwest.

A military spokesperson said the rescue operation had concluded on Wednesday and that all 33 attackers were killed.

At least 27 hostages and one paramilitary soldier were killed over the course of the standoff, security sources told Al Jazeera.

Fighters belonging to the Balochistan Liberation Army (BLA), a separatist group seeking Balochistan’s secession from Pakistan, claimed responsibility for the attack on the Jaffar Express train on Tuesday. Spokesman Jeeyand Baloch had said the group was ready to free passengers if authorities agreed to release jailed fighters.

The train was travelling from Quetta, the provincial capital of Balochistan, to Peshawar, the capital of the northwestern Khyber Pakhtunkhwa",,general,,,1741780392.0,https://www.aljazeera.com/news/2025/3/12/pakistan-says-more-than-300-hostages-rescued-from-hijacked-train?traffic_source=rss
Pakistan,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741785820,Who are the BLA – the group behind Pakistan’s deadly train hijack?,"The group’s train attack is the latest in a series of increasingly audacious assaults it has launched, often targeting Pakistan’s security forces and Chinese nationals.

Islamabad, Pakistan – Security forces in Pakistan’s southwestern province of Balochistan say they have concluded a military operation against armed separatists who hijacked the Peshawar-bound Jaffar Express on Tuesday, rescuing 346 passengers.

Officials said the military had killed all 33 of the attackers from the Balochistan Liberation Army (BLA).

The train, carrying nearly 400 passengers, had left Quetta, the provincial capital of Balochistan, in the morning when it was intercepted by BLA fighters near a series of tunnels, about 160km (100 miles) away.

General Ahmed Sharif , director general of the Inter Services Public Relations, the military’s media wing confirmed that 27 civilians — including the train driver — and one paramilitary soldier involved in the operation had also been killed.

State Interior Minister",,general,,,1741780144.0,https://www.aljazeera.com/news/2025/3/12/who-are-the-bla-the-group-behind-pakistans-deadly-train-hijack?traffic_source=rss
Pakistan,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741797861,Balochistan train hijacking: situation still “very complex”,"Quotable Balochistan train hijacking: situation still “very complex”

Masood Akhtar, a national security analyst from Pakistan, examines the Balochistan train hijacking and its implications.

Read more",,general,,,1741778869.0,https://www.aljazeera.com/program/quotable/2025/3/12/aje-onl-qtmasoodakhtarfinal-120325?traffic_source=rss
Pakistan,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741791836,Pakistan separatist fighters release video showing attack on train,"NewsFeed Pakistan separatist fighters release video showing attack on train

Video released by Pakistan separatists, the Balochistan Liberation Army, show the moment they attacked a train on Tuesday and took hundreds of passengers hostage. Officials said that more than 300 people had been rescued but a number of people were killed as they declared an end to the incident.",,general,,,1741773096.0,https://www.aljazeera.com/program/newsfeed/2025/3/12/pakistan-separatist-fighters-release-video-showing-attack-on-train?traffic_source=rss
Philippines,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/c9819r2en4do#0,Philippines' Duterte in The Hague after ICC arrest over drug war,"Philippines' Duterte in The Hague after ICC arrest over drug war

2 hours ago Share Save Joel Guinto BBC News Share Save

Getty Images Duterte was arrested in Manila in a dramatic turn of events

A plane carrying former Philippines president Rodrigo Duterte has arrived in the Netherlands where he is to face charges of crimes against humanity at the International Criminal Court (ICC) over his deadly ""war on drugs"". Duterte was arrested at Manila airport on Tuesday and within hours was on a chartered jet which flew via Dubai to The Hague, where the ICC sits. The 79-year-old could become the first Asian former head of state to go on trial at the ICC. Duterte, who contested his extradition, led the Philippines from 2016 to 2022 and presided over a violent ""war on drugs"" that saw thousands of small-time drug dealers, users and others killed without trial.

What you need to know about Duterte's ICC arrest in 90 seconds...

The Gulfstream G550 landed in Dubai for a stopover early on Wednesday",,general,,,1741786689.0,https://www.bbc.com/news/articles/c9819r2en4do
Philippines,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741805523,Former Philippines leader Duterte’s ICC case explained,"NewsFeed Former Philippines leader Duterte’s ICC case explained

Former Philippines President Rodrigo Duterte has arrived at The Hague for his ICC trial into the thousands of extrajudicial killings during his war on drugs and crime during his six-year presidency.",,general,,,1741786949.0,https://www.aljazeera.com/program/newsfeed/2025/3/12/former-philippines-leader-dutertes-icc-case-explained?traffic_source=rss
Philippines,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741800981,ICC takes custody of former Philippines President Rodrigo Duterte,"Duterte will be brought before an ICC judge in The Hague in the coming days for an initial appearance, court says.

Former Philippines President Rodrigo Duterte has arrived in the Netherlands and has been surrendered to the custody of the International Criminal Court (ICC) on allegations of crimes against humanity over his deadly “war on drugs”.

Duterte was arrested on Tuesday in the Philippine capital, Manila, after returning from a trip to Hong Kong, and placed on a plane to Rotterdam by police.

In a statement on Wednesday, the ICC said Duterte, 79, had been “arrested by the authorities of the Republic of the Philippines in accordance with an arrest warrant issued by Pre-Trial Chamber I for charges of murder as a crime against humanity”.

He will be brought before an ICC judge in The Hague in the coming days for an initial appearance, the statement said. He was transferred to a detention unit on the Dutch coast.

The ICC’s warrant for his arrest stated that as president, Duterte cr",,general,,,1741786024.0,https://www.aljazeera.com/news/2025/3/12/icc-takes-custody-of-former-philippines-president-rodrigo-duterte?traffic_source=rss
Poland,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741775124,Russia tight-lipped on ceasefire deal as US arms to Ukraine resume,"Sources claims Kremlin wary, as Poland reports that US military aid flow to Ukraine is already back up to speed.

Russia has remained tight-lipped regarding Ukraine’s acceptance of a United States ceasefire deal.

The Kremlin said on Wednesday that Russia was waiting for a briefing from the United States following the talks with Ukrainian officials before it would comment on its stance on the proposed ceasefire. However, there are signals suggesting that Moscow is wary, while US military aid to Kyiv has quickly resumed.

Kremlin spokesperson Dmitry Peskov said that it’s important not to “get ahead” of the question of responding to the ceasefire proposal, and suggested that a phone call between Presidents Vladimir Putin and Donald Trump to discuss the matter has not been ruled out.

“We assume that Secretary of State Rubio and Advisor [Michael] Walz through various channels in the coming days will inform us on the negotiations that took place and the understandings reached,” he added.

",,general,,,1741766316.0,https://www.aljazeera.com/news/2025/3/12/russia-tight-lipped-on-ceasefire-deal-as-us-arms-to-ukraine-resume?traffic_source=rss
Qatar,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/c789v89e5djo#1,US envoy in Qatar to join talks on extending fragile Gaza ceasefire,"US envoy in Qatar to join talks on extending fragile Gaza ceasefire

6 hours ago Share Save Yolande Knell Middle East correspondent Reporting from Jerusalem Share Save

BBC Markets in Khan Younis in southern Gaza are reporting some food shortages after Israel blocked deliveries 10 days ago

The White House's envoy, Steve Witkoff, is in Qatar to join indirect talks between Israel and Hamas on extending the fragile ceasefire in Gaza. This week, negotiators from both sides have begun meeting mediators for the first time since President Donald Trump took office on 20 January. The 42-day first phase of the Gaza deal and temporary truce came into effect on the eve of his inauguration. That first phase ultimately saw Hamas return 25 living Israeli hostages and the remains of eight others - in exchange for about 1,800 Palestinian prisoners held by Israel – as well as five living Thai hostages. It ended on 1 March. Israel now hopes the US can advance a plan for a two-month truce extension, whic",,general,,,1741770646.0,https://www.bbc.com/news/articles/c789v89e5djo
Russia,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/c5y42125239o#2,Decoding the Ukraine ceasefire plan line by line,"Decoding the Ukraine ceasefire plan line by line

7 hours ago Share Save Tom Bateman State Department Correspondent Reporting from Jeddah, Saudi Arabia Share Save

'All of this now hinges on Vladimir Putin's response'

The US is set to introduce a 30-day ceasefire proposal negotiated with Ukraine to Russia in the coming days. Trump administration officials are seeing it as a major breakthrough towards the foreign policy goals of a president who campaigned to end the war. So does it make a ceasefire plausible? And if so, can it end the war after Russia's full-scale invasion three years ago in a just and sustainable way, and on terms that keep the region and the world safe?

Statement: ""Ukraine expressed readiness to accept the U.S. proposal to enact an immediate, interim 30-day ceasefire, which can be extended by mutual agreement of the parties, and which is subject to acceptance and concurrent implementation by the Russian Federation. The United States will communicate to Russia that R",,general,,,1741769321.0,https://www.bbc.com/news/articles/c5y42125239o
Russia,rss_feeds.bbci.co.uk,https://www.bbc.com/news/videos/cy4vxr3je9vo#3,Watch: Video shows aftermath of Moscow drone strikes,"Three men have been killed in the Moscow region, in what is described as the largest drone attack on the Russian capital since the start of the full-scale war in Ukraine.

Video shows the aftermath of the strikes, which injured 18 people including three children, health officials told Russian media.

The Russian defence ministry said 337 drones were intercepted over Russia and 91 of them were shot down over the Moscow region.",,general,,,1741693302.0,https://www.bbc.com/news/videos/cy4vxr3je9vo
Russia,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741809455,Russia claims more gains in Kursk as Ukraine hints at pullback,"Putin hails advances in Kursk during a rare visit, promising to fully liberate the region from Ukrainian forces soon.

Ukrainian troops appear on the point of losing their hard-won foothold inside Russia’s Kursk region as Moscow claims further advances there and military bloggers on both sides say Kyiv’s forces are withdrawing.

Ukraine sprang one of the biggest shocks of the war on August 6 last year by storming across the border and seizing territory inside Russia, boosting citizens’ morale and gaining a potential bargaining chip.

But after clinging for more than seven months to a gradually shrinking area, Ukraine has seen its position worsen sharply in the past week.

Russia’s Ministry of Defence on Wednesday reported the capture of five more villages, and Kremlin spokesman Dmitry Peskov said that “the dynamics are good”.

A video published by Russian bloggers and state media showed troops standing with a Russian tricolour flag on a square in the centre of Sudzha, a town near the U",,general,,,1741792349.0,https://www.aljazeera.com/news/2025/3/12/russia-claims-more-gains-in-kursk-as-ukraine-hints-at-pullback?traffic_source=rss
Russia,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741792350,"Man arrested over North Sea ship collision a Russian national, says owner","British police are investigating the cause behind a crash between a cargo vessel and an anchored US fuel tanker.

The captain of a cargo ship that hit a US tanker in the North Sea is a Russian national, the owners of the vessel said, as police continued their inquiries into the incident.

The Solong container ship on Monday crashed into the Stena Immaculate, a tanker carrying jet fuel for the US military, causing an explosion that triggered fires on board the two vessels.

The next day, British police arrested the Solong’s 59-year-old captain on suspicion of gross negligence and manslaughter as investigations continued into how the cargo ship ran into the US tanker that was anchored about 13 miles (20 kilometres) off the coast of the northeastern British port of Hull.

Ernst Russ, the German company which owns the Portuguese-flagged Solong, confirmed on Wednesday that the captain was Russian and that the crew was comprised of 14 members, one of whom is missing and presumed dead, and wa",,general,,,1741775550.0,https://www.aljazeera.com/news/2025/3/12/man-arrested-over-north-sea-ship-collision-a-russian-national-says-owner?traffic_source=rss
Russia,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741789736,Russia ‘studying’ US ceasefire proposal agreed to by Ukraine,"NewsFeed Russia ‘studying’ US ceasefire proposal agreed to by Ukraine

The Kremlin says it is examining the US ceasefire proposal agreed to by Ukraine, but Russia’s Vladimir Putin has previously said he is not interested in a temporary truce and would rather have a full stop. Al Jazeera’s Dorsa Jabbari has more from Moscow.",,general,,,1741770313.0,https://www.aljazeera.com/program/newsfeed/2025/3/12/russia-studying-us-ceasefire-proposal-agreed-to-by-ukraine?traffic_source=rss
Russia,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741775124,Russia tight-lipped on ceasefire deal as US arms to Ukraine resume,"Sources claims Kremlin wary, as Poland reports that US military aid flow to Ukraine is already back up to speed.

Russia has remained tight-lipped regarding Ukraine’s acceptance of a United States ceasefire deal.

The Kremlin said on Wednesday that Russia was waiting for a briefing from the United States following the talks with Ukrainian officials before it would comment on its stance on the proposed ceasefire. However, there are signals suggesting that Moscow is wary, while US military aid to Kyiv has quickly resumed.

Kremlin spokesperson Dmitry Peskov said that it’s important not to “get ahead” of the question of responding to the ceasefire proposal, and suggested that a phone call between Presidents Vladimir Putin and Donald Trump to discuss the matter has not been ruled out.

“We assume that Secretary of State Rubio and Advisor [Michael] Walz through various channels in the coming days will inform us on the negotiations that took place and the understandings reached,” he added.

",,general,,,1741766316.0,https://www.aljazeera.com/news/2025/3/12/russia-tight-lipped-on-ceasefire-deal-as-us-arms-to-ukraine-resume?traffic_source=rss
Sudan,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741782907,African Union warns of Sudan partition risk,"African Union urges member states and international community ‘not to recognise any government or parallel entity’.

The African Union says that the announcement of a parallel government in war-torn Sudan risks severing the country, already ravaged by nearly two years of fighting.

The paramilitary Rapid Support Forces (RSF) has been locked in a brutal conflict with the Sudanese Armed Forces (SAF) since April 2023, in a war that has claimed tens of thousands of lives and uprooted more than 12 million people.

The war, initially sparked by disagreements over the integration of the RSF into the army, has torn the country apart, with the military now controlling eastern and northern Sudan and the RSF dominating western Darfur and large parts of the south.

The RSF and its allies last month signed a “founding charter” of a breakaway government, in a further sign of the splintering of the country.

Signatories of the document intend to create a “government of peace and unity” in rebel-contr",,general,,,1741769447.0,https://www.aljazeera.com/news/2025/3/12/african-union-warns-of-sudan-partition-risk?traffic_source=rss
Syria,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741769176,"Analysis: Call to disband PKK reshapes Turkiye, Syria power dynamics","Ocalan’s call comes as value of armed fight diminishes, and Kurdish political participation grew – will this continue?

The consequences of the call by the founder of the Kurdistan Workers’ Party (PKK), Abdullah Ocalan, for the group to disband are still reverberating – not just in Turkiye but also in the wider region.

Shifting alliances in Syria – exemplified by the recent agreement between the Kurdish-led Syrian Democratic Forces (SDF) and the Syrian government – confirm that Ocalan’s message is not isolated or purely domestic but offers a crucial opportunity that could redefine everything from Turkiye’s security policies to the future positioning of Kurdish actors, shaping the next phase of regional power dynamics.

Ocalan, in a statement delivered from a Turkish prison in late February, called on the PKK to “convene your congress and make a decision. All groups must lay down their weapons, and the PKK should dissolve itself.”

The PKK leadership – from its longstanding command cen",,general,,,1741769698.0,https://www.aljazeera.com/news/2025/3/12/analysis-call-to-disband-pkk-reshapes-turkiye-syria-power-dynamics?traffic_source=rss
Ukraine,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/cvgprg8g4xpo#2,How could Putin respond to US-Ukraine ceasefire plan?,"How could Putin respond to US-Ukraine ceasefire plan?

It was after 21:00 on Tuesday night in Moscow when the US Secretary of State Marco Rubio outlined the Ukrainian and American proposal for a 30-day ceasefire with Russia.

By Wednesday afternoon, the Kremlin appeared to be still weighing its response to the proposals.

Russia's foreign ministry spokeswoman Maria Zakharova declined to be drawn into specifics, saying that ""the formation of the position of the Russian Federation [would] take place inside the Russian Federation"".

And Kremlin spokesman Dmitry Peskov skirted the issue. ""Let's not get ahead of ourselves,"" he said, adding Moscow was ""acquainting itself"" with the joint statement issued in Jeddah.

There are reports that US envoy Steve Witkoff could travel to Moscow on Thursday, and Peskov said the press would be kept informed. Other than this, it was no comment from the Kremlin.

President Vladimir Putin is no doubt thinking carefully about whether to accept the ceasefire p",,general,,,1741775450.0,https://www.bbc.com/news/articles/cvgprg8g4xpo
Ukraine,rss_feeds.bbci.co.uk,https://www.bbc.com/news/articles/c5y42125239o#2,Decoding the Ukraine ceasefire plan line by line,"Decoding the Ukraine ceasefire plan line by line

7 hours ago Share Save Tom Bateman State Department Correspondent Reporting from Jeddah, Saudi Arabia Share Save

'All of this now hinges on Vladimir Putin's response'

The US is set to introduce a 30-day ceasefire proposal negotiated with Ukraine to Russia in the coming days. Trump administration officials are seeing it as a major breakthrough towards the foreign policy goals of a president who campaigned to end the war. So does it make a ceasefire plausible? And if so, can it end the war after Russia's full-scale invasion three years ago in a just and sustainable way, and on terms that keep the region and the world safe?

Statement: ""Ukraine expressed readiness to accept the U.S. proposal to enact an immediate, interim 30-day ceasefire, which can be extended by mutual agreement of the parties, and which is subject to acceptance and concurrent implementation by the Russian Federation. The United States will communicate to Russia that R",,general,,,1741769321.0,https://www.bbc.com/news/articles/c5y42125239o
Ukraine,rss_www.aljazeera.com,https://www.aljazeera.com/?t=1741809455,Russia claims more gains in Kursk as Ukraine hints at pullback,"Putin hails advances in Kursk during a rare visit, promising to fully liberate the region from Ukrainian forces soon.

Ukrainian troops appear on the point of losing their hard-won foothold inside Russia’s Kursk region as Moscow claims further advances there and military bloggers on both sides say Kyiv’s forces are withdrawing.

Ukraine sprang one of the biggest shocks of the war on August 6 last year by storming across the border and seizing territory inside Russia, boosting citizens’ morale and gaining a potential bargaining chip.

But after clinging for more than seven months to a gradually shrinking area, Ukraine has seen its position worsen sharply in the past week.

Russia’s Ministry of Defence on Wednesday reported the capture of five more villages, and Kremlin spokesman Dmitry Peskov said that “the dynamics are good”.

A video published by Russian bloggers and state media showed troops standing with a Russian tricolour flag on a square in the centre of Sudzha, a town near the U",,general,,,1741792349.0,https://www.aljazeera.com/news/2025/3/12/russia-claims-more-gains-in-kursk-as-ukraine-hints-at-pullback?traffic_source=rss
